		지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),	최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,2012-01,-2.8,1.3,8.4,2012-01-19,-6.3,-12.2,2012-01-23
108,서울,2012-02,-2.0,3.0,12.1,2012-02-22,-6.0,-17.1,2012-02-02
108,서울,2012-03,5.1,9.5,16.2,2012-03-29,1.5,-5.7,2012-03-12
108,서울,2012-04,12.3,17.9,29.4,2012-04-30,7.8,0.6,2012-04-07
108,서울,2012-05,19.7,25.1,29.3,2012-05-22,15.4,12.0,2012-05-18
108,서울,2012-06,24.1,29.7,33.5,2012-06-19,20.0,16.3,2012-06-01
108,서울,2012-07,25.4,29.0,33.2,2012-07-29,22.4,18.5,2012-07-07
108,서울,2012-08,27.1,30.9,36.7,2012-08-05,23.9,18.7,2012-08-31
108,서울,2012-09,21.0,25.0,29.5,2012-09-02,17.4,12.0,2012-09-30
108,서울,2012-10,15.3,20.5,26.0,2012-10-03,11.0,2.8,2012-10-31
108,서울,2012-11,5.5,9.5,15.7,2012-11-03,1.8,-3.0,2012-11-30
108,서울,2012-12,-4.1,-0.5,8.3,2012-12-15,-7.4,-14.5,2012-12-26
108,서울,2013-01,-3.4,0.3,11.5,2013-01-31,-6.6,-16.4,2013-01-03
108,서울,2013-02,-1.2,2.8,13.9,2013-02-28,-4.9,-15.8,2013-02-08
108,서울,2013-03,5.1,10.8,23.8,2013-03-09,0.7,-4.4,2013-03-02
108,서울,2013-04,10.0,15.0,21.6,2013-04-28,5.7,1.3,2013-04-10
108,서울,2013-05,18.2,23.6,31.8,2013-05-25,13.7,7.9,2013-05-06
108,서울,2013-06,24.4,29.2,32.6,2013-06-29,20.5,16.3,2013-06-02
108,서울,2013-07,25.5,28.3,31.3,2013-07-01,23.4,20.5,2013-07-03
108,서울,2013-08,27.7,31.1,33.9,2013-08-21,24.8,21.1,2013-08-31
108,서울,2013-09,21.8,25.9,31.1,2013-09-18,18.0,10.9,2013-09-27
108,서울,2013-10,15.8,21.2,28.1,2013-10-05,10.9,4.3,2013-10-26
108,서울,2013-11,6.2,10.7,20.7,2013-11-01,2.1,-6.4,2013-11-28
108,서울,2013-12,-0.2,3.5,11.0,2013-12-07,-3.5,-9.8,2013-12-28
108,서울,2014-01,-0.7,3.5,8.2,2014-01-29,-4.9,-10.5,2014-01-13
108,서울,2014-02,1.9,6.6,16.4,2014-02-26,-1.8,-10.5,2014-02-04
108,서울,2014-03,7.9,13.1,23.8,2014-03-28,3.5,-4.6,2014-03-07
108,서울,2014-04,14.0,19.6,26.2,2014-04-24,9.4,2.3,2014-04-06
108,서울,2014-05,18.9,25.3,33.3,2014-05-31,13.8,6.8,2014-05-05
108,서울,2014-06,23.1,27.8,31.1,2014-06-06,19.7,17.3,2014-06-12
108,서울,2014-07,26.1,30.6,34.4,2014-07-31,22.9,19.1,2014-07-24
108,서울,2014-08,25.2,29.0,35.8,2014-08-02,22.1,18.3,2014-08-11
108,서울,2014-09,22.1,27.0,31.3,2014-09-07,18.0,14.9,2014-09-19
108,서울,2014-10,15.6,21.4,29.0,2014-10-12,10.7,2.7,2014-10-28
108,서울,2014-11,9.0,13.8,22.9,2014-11-01,4.9,-3.1,2014-11-13
108,서울,2014-12,-2.9,1.5,7.9,2014-12-01,-6.7,-13.2,2014-12-18
108,서울,2015-01,-0.9,3.6,9.0,2015-01-15,-4.8,-9.8,2015-01-01
108,서울,2015-02,1.0,6.0,13.0,2015-02-15,-2.9,-13.0,2015-02-09
108,서울,2015-03,6.3,12.4,21.9,2015-03-20,1.0,-6.9,2015-03-10
108,서울,2015-04,13.3,18.8,28.3,2015-04-30,8.4,3.5,2015-04-08
108,서울,2015-05,18.9,24.9,32.2,2015-05-28,13.6,8.3,2015-05-05
108,서울,2015-06,23.6,29.5,34.9,2015-06-10,18.9,15.6,2015-06-21
108,서울,2015-07,25.8,30.0,36.0,2015-07-11,22.6,18.2,2015-07-04
108,서울,2015-08,26.3,30.8,34.4,2015-08-07,22.8,18.9,2015-08-26
108,서울,2015-09,22.4,28.1,31.0,2015-09-22,17.5,14.2,2015-09-27
108,서울,2015-10,15.5,21.2,26.6,2015-10-17,10.8,1.1,2015-10-31
108,서울,2015-11,8.9,12.7,21.0,2015-11-12,5.9,-7.3,2015-11-27
108,서울,2015-12,1.6,6.0,12.2,2015-12-13,-2.1,-9.5,2015-12-28
108,서울,2016-01,-3.2,1.1,9.5,2016-01-02,-6.8,-18.0,2016-01-24
108,서울,2016-02,0.2,5.1,14.4,2016-02-13,-4.1,-10.0,2016-02-15
108,서울,2016-03,7.0,12.6,21.4,2016-03-31,2.4,-7.5,2016-03-01
108,서울,2016-04,14.1,20.3,29.6,2016-04-26,9.1,5.1,2016-04-04
108,서울,2016-05,19.6,25.7,31.9,2016-05-19,14.1,8.9,2016-05-03
108,서울,2016-06,23.6,28.7,32.2,2016-06-05,19.5,17.1,2016-06-01
108,서울,2016-07,26.2,29.8,34.1,2016-07-22,23.3,19.8,2016-07-16
108,서울,2016-08,28.0,32.6,36.6,2016-08-21,24.5,16.1,2016-08-31
108,서울,2016-09,23.1,27.9,31.1,2016-09-05,19.3,14.3,2016-09-21
108,서울,2016-10,16.1,21.3,29.0,2016-10-04,11.6,0.7,2016-10-31
108,서울,2016-11,6.8,11.6,18.6,2016-11-19,2.8,-6.2,2016-11-24
108,서울,2016-12,1.2,5.8,13.6,2016-12-20,-2.7,-9.8,2016-12-16
108,서울,2017-01,-1.8,2.9,11.4,2017-01-06,-5.8,-12.6,2017-01-23
108,서울,2017-02,-0.2,4.8,12.3,2017-02-28,-4.7,-9.3,2017-02-10
108,서울,2017-03,6.3,12.3,18.9,2017-03-19,1.7,-5.3,2017-03-08
108,서울,2017-04,13.9,20.0,27.8,2017-04-30,9.1,3.1,2017-04-02
108,서울,2017-05,19.5,25.4,30.3,2017-05-30,14.4,10.0,2017-05-06
108,서울,2017-06,23.3,28.8,34.1,2017-06-23,18.7,14.5,2017-06-06
108,서울,2017-07,26.9,30.4,35.4,2017-07-25,24.3,21.9,2017-07-03
108,서울,2017-08,25.9,29.7,35.3,2017-08-04,22.9,16.1,2017-08-30
108,서울,2017-09,22.1,27.4,31.4,2017-09-26,17.5,11.2,2017-09-29
108,서울,2017-10,16.4,22.5,29.4,2017-10-02,11.6,2.5,2017-10-30
108,서울,2017-11,5.6,10.5,18.4,2017-11-07,1.3,-6.6,2017-11-19
108,서울,2017-12,-1.9,2.2,8.7,2017-12-23,-5.7,-12.3,2017-12-12
108,서울,2018-01,-4.0,0.1,8.7,2018-01-17,-7.3,-17.8,2018-01-26
108,서울,2018-02,-1.6,3.3,10.4,2018-02-26,-5.9,-13.4,2018-02-07
108,서울,2018-03,8.1,13.6,22.1,2018-03-14,3.8,-6.7,2018-03-02
108,서울,2018-04,13.0,18.5,26.3,2018-04-20,8.1,0.1,2018-04-09
108,서울,2018-05,18.2,23.3,29.6,2018-05-26,13.4,6.9,2018-05-03
108,서울,2018-06,23.1,28.4,32.9,2018-06-25,18.9,16.3,2018-06-16
108,서울,2018-07,27.8,32.1,38.3,2018-07-31,24.2,17.7,2018-07-08
108,서울,2018-08,28.8,33.3,39.6,2018-08-01,25.2,20.2,2018-08-27
108,서울,2018-09,21.5,26.0,30.9,2018-09-01,17.6,10.8,2018-09-25
108,서울,2018-10,13.1,18.6,25.6,2018-10-04,8.5,0.7,2018-10-30
108,서울,2018-11,7.8,13.2,19.4,2018-11-04,3.6,-3.1,2018-11-23
108,서울,2018-12,-0.6,4.1,13.5,2018-12-03,-4.7,-14.4,2018-12-28
108,서울,2019-01,-0.9,4.1,8.5,2019-01-19,-5.1,-10.1,2019-01-16
108,서울,2019-02,1.0,6.0,14.5,2019-02-23,-3.2,-10.2,2019-02-08
